TimestampSw,TimestampHw,Raw,Filtered
1679349617593,275237915.000,17052.000,-92.000
1679349617609,275257934.000,17054.000,-94.000
1679349617642,275277954.000,17054.000,-93.000
1679349617656,275297973.000,17061.000,-89.000
1679349617673,275317993.000,17061.000,-84.000
1679349617688,275338012.000,17063.000,-78.000
1679349617720,275358032.000,17063.000,-72.000
1679349617735,275378051.000,17058.000,-67.000
1679349617752,275398071.000,17058.000,-62.000
1679349617783,275418090.000,17057.000,-58.000
1679349617799,275438110.000,17057.000,-53.000
1679349617815,275458129.000,17057.000,-49.000
1679349617830,275478149.000,17057.000,-45.000
1679349617862,275498168.000,17070.000,-39.000
1679349617878,275518218.000,17070.000,-33.000
1679349617894,275538238.000,17084.000,-25.000
1679349617909,275558227.000,17084.000,-17.000
1679349617940,275578247.000,17096.000,-9.000
1679349617957,275598266.000,17096.000,-2.000
1679349617972,275618286.000,17106.000,4.000
1679349618004,275638305.000,17106.000,10.000
1679349618019,275658325.000,17115.000,16.000
1679349618035,275678344.000,17115.000,21.000
1679349618050,275698364.000,17125.000,25.000
1679349618084,275718383.000,17125.000,29.000
1679349618098,275738403.000,17129.000,32.000
1679349618113,275758422.000,17129.000,34.000
1679349618130,275778442.000,17137.000,36.000
1679349618161,275798461.000,17137.000,38.000
1679349618177,275818481.000,17154.000,40.000
1679349618192,275838500.000,17154.000,44.000
1679349618224,275858551.000,17109.000,39.000
1679349618241,275878570.000,17109.000,29.000
1679349618259,275898590.000,17027.000,10.000
1679349618272,275918579.000,17027.000,-15.000
1679349618303,275938598.000,16993.000,-37.000
1679349618319,275958618.000,16993.000,-58.000
1679349618335,275978637.000,16987.000,-72.000
1679349618351,275998657.000,16987.000,-82.000
